package_name,component,application_or_service,repo,openstack_release,2018.4.0,2018.11.0,2019.2.0,2019.2.1,2019.2.2
salt-formula-elasticsearch,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-etcd,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-fluentbit,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-fluentd,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-foreman,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-freeipa,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-galera,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-gerrit,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-git,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-gitlab,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-glance,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-glusterfs,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-gnocchi,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-grafana,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-graphite,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-haproxy,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-heat,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-heka,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-helm,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-horizon,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-influxdb,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-iptables,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-ironic,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-isc-dhcp,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-java,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-jenkins,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-kedb,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-keepalived,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-keycloak,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-keystone,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-kibana,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-kubernetes,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-letsencrypt,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-libvirt,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-linux,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-lldp,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-logrotate,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-maas,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-magnum,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-manila,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-memcached,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-midonet,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-mirascan,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-mongodb,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-murano,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-mysql,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-nagios,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-network,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-neutron,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-nfs,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-nginx,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-nodejs,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-nova,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-ntp,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-octavia,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-opencontrail,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-openldap,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-openssh,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-openvpn,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-openvstorage,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-oslo-templates,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-owncloud,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-panko,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-postfix,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-postgresql,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-powerdns,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-pritunl,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-prometheus,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-python,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-rabbitmq,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-reclass,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-redis,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-roundcube,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-rsync,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-rsyslog,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-rundeck,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-runtest,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-sahara,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-salt,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-sensu,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-sentry,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-shibboleth,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-sphinx,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-statsd,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-supervisor,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-swift,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-taiga,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-telegraf,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-tftpd-hpa,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-tinyproxy,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-varnish,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-watchdog,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-xtrabackup,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-zookeeper,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-master,DriveTrain,SaltStack,mirror,,,2017.7.7,2017.7.8,,
salt-minion,DriveTrain,SaltStack,mirror,,,2017.7.7,2017.7.8,,
salt-pepper,DriveTrain,SaltStack,,,,,,,
sbsigntool,,,,,,,,,
screen,,,,,,,,,
scrub,,,,,,,,,
seabios,,,,,,,,,
sed,,,,,,,,,
sensible-utils,,,,,,,,,
sg3-utils,,,,,,,,,
sgml-base,,,,,,,,,
shared-mime-info,,,,,,,,,
smartmontools,,,,,,,,,
snapd,,,,,,,,,
snmp,,,,,,,,,
socat,,,,,,,,,
software-properties-common,,,,,,,,,
sosreport,,,,,,,,,
spawn-fcgi,,,,,,,,,
sphinx-common,,,,,,,,,
sphinx-rtd-theme-common,,,,,,,,,
spice-html5,,,,,,,,,
sqlite3,,,,,,,,,
squashfs-tools,,,,,,,,,
squid,,,,,,,,,
squid-common,,,,,,,,,
squid-langpack,,,,,,,,,
ssh-import-id,,,,,,,,,
ssl-cert,,,,,,,,,
strace,,,,,,,,,
subunit,,,,,,,,,
sudo,,,,,,,,,
supermin,,,,,,,,,
sysfsutils,,,,,,,,,
syslinux,,,,,,,,,
syslinux-common,,,,,,,,,
sysstat,,,,,,,,,
systemd,,,,,,,,,
systemd-sysv,,,,,,,,,
sysv-rc,,,,,,,,,
sysvinit-utils,,,,,,,,,
tar,,,,,,,,,
tcpd,,,,,,,,,
tcpdump,System,Networking,,,,,,,
td-agent,,,,,,,,,
td-agent-additional-plugins,,,,,,,,,
telegraf,StackLight LMA,Telegraf,,,,,,,
tgt,,,,,,,,,
thermald,,,,,,,,,
thin-provisioning-tools,,,,,,,,,
time,,,,,,,,,
tmux,,,,,,,,,
traceroute,,,,,,,,,
tree,,,,,,,,,
tzdata,,,,,,,,,
ubuntu-cloudimage-keyring,,,,,,,,,
ubuntu-core-launcher,,,,,,,,,
ubuntu-keyring,,,,,,,,,
ubuntu-minimal,,,,,,,,,
ubuntu-release-upgrader-core,,,,,,,,,
ubuntu-server,,,,,,,,,
ubuntu-standard,,,,,,,,,
ucf,,,,,,,,,
udev,,,,,,,,,
ufw,,,,,,,,,
uidmap,,,,,,,,,
unzip,,,,,,,,,
update-manager-core,,,,,,,,,
update-motd,,,,,,,,,
update-notifier-common,,,,,,,,,
ureadahead,,,,,,,,,
usbutils,,,,,,,,,
util-linux,,,,,,,,,
uuid-runtime,,,,,,,,,
vim,,,,,,,,,
vim-common,,,,,,,,,
vim-nox,,,,,,,,,
vim-runtime,,,,,,,,,
vim-tiny,,,,,,,,,
virt-what,,,,,,,,,
virtualenv,,,,,,,,,
vlan,,,,,,,,,
websockify,,,,,,,,,
websockify-common,,,,,,,,,
wget,,,,,,,,,
whiptail,,,,,,,,,
wireless-regdb,,,,,,,,,
x11-common,,,,,,,,,
xauth,,,,,,,,,
xdg-user-dirs,,,,,,,,,
xfsprogs,,,,,,,,,
xkb-data,,,,,,,,,
xml-core,,,,,,,,,
xmlsec1,,,,,,,,,
xz-utils,,,,,,,,,
zerofree,,,,,,,,,
zlib1g,,,,,,,,,
zlib1g-dev,,,,,,,,,
